name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Eusan Composite Armor K4,eusan_nation_K4_composite_armor,0,0,Eusan Tech,,Special,0,,TRUE,,0,0,0,0,data.hullmods.eusan_nation_K4_composite_armor,The K4 Composite Armor is the newest armor developed specifically for use on the new generation of warships being deployed. Feature several layers of different materials bolted between the outer hull and inner pressure hull as well as improved spall lining for critical areas of the ship. The main aim of this armoring is to provide the most protection against common threat types. It is optimized for protection against anti-armor projectiles. Against energy weaponry it provides improved protection compared to the previous generation but still struggles against those types of weapons.,Advanced Capital Ship Armor,graphics/hullmods/k4_armor_temp.png
Eusan Advanced Flag Facilities,eusan_nation_advanced_flag_facilities,0,0,Eusan Tech,,Special,0,,TRUE,,0,0,0,0,data.hullmods.eusan_nation_advanced_flag_facilities,Specially designated Volksmarine warships are fitted with advanced command and control facilities that will allow fleet admirals to issue commands more efficiently than other ships.,Advanced Flagship Command Deck,graphics/hullmods/k4_armor_temp.png
Eusan Electronic Warfare Suite,eusan_nation_electronic_warfare_suite,0,0,Eusan Tech,,Special,0,,TRUE,,0,0,0,0,data.hullmods.eusan_nation_electronic_warfare_suite,"The Volksmarine requires almost every warship in service to be equipped with electronic warfare suites. The current models in widespread use is the Type 90s featuring triple band antennas. Regardless of the model, each is designed to provide the ship with ECM and ECCM capability.",Electronic Warfare Equipment,graphics/hullmods/EusanElectronicWarfareSuite.png
#Eusan Replika Cadre,eusan_nation_replika_cadre,0,0,Eusan Tech,,Special,0,,TRUE,,0,0,0,0,data.hullmods.eusan_nation_replika_cadre,"Each Eusan warship have a cadre of Replikas to assist in maintainence and repair. Where the human crew may have issues with working nonstop, the Replikas have no such issues. Far more efficient and skilled at repairs, the Replikas will reduce the resources consumed, improve crew readiness rates and increase repair rates.",Logistics Upkeep and Maintenance,graphics/hullmods/k4_armor_temp.png
Eusan Engineering,eusan_nation_engineering_design,0,0,Eusan Tech,,Special,0,,TRUE,,0,0,0,0,data.hullmods.eusan_nation_engineering_design,"Taking advantage of widespread use of Replikas used in hazardous environments, the Volksmarine has supplemented the human crews of each warship with a cadre of Replika workers. The benifits of this arrangement allows faster repairs, better readiness and less stress on the human crews.",Logistics Upkeep and Maintenance,graphics/hullmods/EusanEngineering.png
#Operation Penrose,eusan_nation_operation_penrose,0,0,Eusan Tech,,Special,0,,TRUE,,0,0,0,0,data.hullmods.eusan_nation_operation_penrose,"Operation Penrose, the flagship exploration program of our Great Nation! The three exploration phases are as follows: Phase 1 from day 1 to 1500. Phase 2 is from day 1500 to 3000. Phase 3 is day 3000 and beyond. It is currently day %s",Logistics Upkeep and Maintenance,graphics/hullmods/k4_armor_temp.png
#Penrose Survey Equipment,eusan_nation_penrose_survey_equipment,0,0,Eusan Tech,,Special,0,,TRUE,,0,0,0,0,data.hullmods.eusan_nation_penrose_survey_equipment,,Survey Equipment,graphics/hullmods/k4_armor_temp.png
Eusan Missile Assembly Compartment,eusan_nation_missile_assembly_compartment,0,0,Eusan Tech,,,Special,0,TRUE,,0,0,0,0,data.hullmods.eusan_nation_missile_assembly_compartment,Deep space operations shown a need to allow the Volksmarine to rapidly reload and assemble munitions from ready to assemble sources. Reloading missile launchers would require a safe area to do so. The Volksmarine therefore designed their ships to assemble munitions from storage compartments and send them ready to fire on launchers.,Ammunition Reload,graphics/hullmods/k4_armor_temp.png
OnBoard Supercomputer,eusan_nation_onboard_supercomputer,,,,,,,,TRUE,,0,0,0,0,data.hullmods.eusan_nation_onboard_supercomputer,"Reduces the chance for missiles launched by the ship to be affected by electronic counter-measures and flares by %s.

The Station's supercomputer datalinks with each missile with tracking and guidance far beyond the missile's onboard computer is capable of. Increases missile top speed by %s and missile maneuverability by %s, as well as significantly improving the guidance algorithm.",Greatly extends missile weapon range.,graphics/hullmods/targeting_supercomputer.png
Imperial Hull Plating,eusan_nation_imperial_hullPlating,0,0,Eusan Tech,,,Special,0,TRUE,,0,0,0,0,data.hullmods.Eusan_Nation_Imperial_HullPlating,"Imperial-era warships are fitted with advanced armor and hull plating that reduces sensors detection ranges. A side effect of the armor composition is they resist energy weaponry better than other armor technology in use by the Nation.",Advanced Armor Plating,graphics/hullmods/k4_armor_temp.png